"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2016","623.42","667.81","667.81","622.72","444.58K","-7.19%"
"12/27/2015","671.74","681.53","687.74","671.48","235.54K","-1.68%"
"12/20/2015","683.25","665.03","686.62","663.00","221.99K","3.10%"
"12/13/2015","662.68","665.97","682.26","658.58","631.09K","-0.51%"
"12/06/2015","666.08","699.38","699.38","664.16","346.19K","-4.89%"
"11/29/2015","700.33","710.42","712.00","691.85","341.55K","-1.29%"
"11/22/2015","709.50","695.39","710.47","693.59","203.31K","1.96%"
"11/15/2015","695.89","675.27","697.79","674.67","341.30K","2.97%"
"11/08/2015","675.85","707.87","707.87","675.13","344.54K","-4.59%"
"11/01/2015","708.39","690.38","708.54","690.38","413.33K","2.76%"
"10/25/2015","689.36","690.32","698.57","677.76","424.57K","-0.20%"
"10/18/2015","690.75","684.84","691.15","677.91","345.41K","0.70%"
"10/11/2015","685.92","688.27","691.34","670.49","328.10K","-0.27%"
"10/04/2015","687.76","656.50","690.42","656.50","406.95K","5.05%"
"09/27/2015","654.67","661.79","661.79","636.87","426.68K","-1.24%"
"09/20/2015","662.87","673.72","681.25","655.92","361.05K","-1.26%"
"09/13/2015","671.34","670.73","691.09","667.28","473.16K","0.14%"
"09/06/2015","670.37","664.74","679.05","662.96","260.22K","1.47%"
"08/30/2015","660.68","673.95","677.11","654.29","374.37K","-2.10%"
"08/23/2015","674.84","671.19","675.34","644.20","466.60K","-0.31%"
"08/16/2015","676.91","705.36","712.25","674.96","358.11K","-4.24%"
"08/09/2015","706.90","702.99","710.22","692.88","346.64K","0.81%"
"08/02/2015","701.21","712.65","717.82","698.43","408.42K","-1.60%"
"07/26/2015","712.64","700.21","715.89","691.47","439.15K","1.56%"
"07/19/2015","701.72","723.70","723.84","700.86","346.38K","-2.99%"
"07/12/2015","723.35","720.32","729.49","720.32","304.10K","0.57%"
"07/05/2015","719.22","715.86","719.68","704.25","391.31K","0.23%"
"06/28/2015","717.55","732.64","732.64","715.62","354.50K","-2.30%"
"06/21/2015","734.44","737.82","742.23","731.34","484.77K","-0.26%"
"06/14/2015","736.35","724.15","737.89","716.53","459.48K","1.43%"
"06/07/2015","725.95","721.57","729.50","713.46","306.75K","0.53%"
"05/31/2015","722.12","714.61","725.17","708.75","313.15K","1.30%"
"05/24/2015","712.88","716.96","718.35","707.26","272.05K","-0.74%"
"05/17/2015","718.16","714.27","724.08","713.12","302.98K","0.43%"
"05/10/2015","715.08","710.15","716.26","700.63","304.12K","0.66%"
"05/03/2015","710.38","707.91","713.60","698.00","351.99K","0.43%"
"04/26/2015","707.33","725.90","730.89","700.91","399.78K","-2.45%"
"04/19/2015","725.08","716.22","727.71","716.11","288.61K","1.47%"
"04/12/2015","714.57","723.05","730.29","712.75","299.08K","-1.14%"
"04/05/2015","722.79","719.63","725.04","714.36","293.07K","0.21%"
"03/29/2015","721.27","716.19","724.56","712.98","276.87K","0.93%"
"03/22/2015","714.63","726.96","729.89","707.98","334.75K","-1.74%"
"03/15/2015","727.26","708.82","727.80","707.21","482.38K","2.83%"
"03/08/2015","707.24","698.05","710.33","692.02","371.39K","1.44%"
"03/01/2015","697.18","710.09","716.00","696.60","338.29K","-1.80%"
"02/22/2015","709.98","707.72","713.35","702.91","341.74K","0.18%"
"02/15/2015","708.67","705.39","708.67","700.90","276.69K","0.46%"
"02/08/2015","705.45","695.56","705.79","686.32","354.46K","1.23%"
"02/01/2015","696.85","671.72","700.87","664.38","426.15K","3.95%"
"01/25/2015","670.38","683.98","690.16","670.02","413.16K","-1.97%"
"01/18/2015","683.82","678.92","686.66","669.25","317.85K","0.82%"
"01/11/2015","678.28","681.19","690.60","664.54","387.11K","-0.36%"
"01/04/2015","680.74","687.49","687.49","664.21","390.81K","-1.37%"
"12/28/2014","690.17","699.76","704.77","684.19","235.83K","-1.38%"
"12/21/2014","699.86","685.66","701.09","685.43","204.20K","2.10%"
"12/14/2014","685.48","666.01","687.23","655.61","604.49K","3.20%"
"12/07/2014","664.20","681.58","686.10","663.59","380.48K","-2.71%"
"11/30/2014","682.70","675.89","683.99","667.41","391.82K","0.87%"
"11/23/2014","676.82","678.15","687.61","676.32","241.28K","-0.08%"
"11/16/2014","677.36","678.43","684.68","665.63","318.75K","-0.29%"
"11/09/2014","679.36","679.14","687.13","677.56","331.63K","0.04%"
"11/02/2014","679.06","679.64","682.08","672.70","390.47K","-0.06%"
"10/26/2014","679.50","643.70","679.73","638.03","443.26K","5.22%"
"10/19/2014","645.80","623.05","647.96","622.64","358.64K","3.38%"
"10/12/2014","624.69","611.39","633.96","604.48","499.44K","2.26%"
"10/05/2014","610.90","637.48","638.44","610.87","531.26K","-3.99%"
"09/28/2014","636.31","639.74","643.99","623.24","395.77K","-1.14%"
"09/21/2014","643.65","656.49","656.49","637.73","335.30K","-2.23%"
"09/14/2014","658.30","664.27","668.33","655.40","462.96K","-0.94%"
"09/07/2014","664.56","671.85","673.90","662.25","325.15K","-1.11%"
"08/31/2014","672.04","673.53","678.01","666.77","259.80K","0.02%"
"08/24/2014","671.88","669.83","674.01","666.32","254.02K","0.62%"
"08/17/2014","667.71","660.50","670.18","659.92","278.94K","1.61%"
"08/10/2014","657.10","653.84","662.63","651.03","295.02K","0.76%"
"08/03/2014","652.14","644.79","652.58","639.09","360.59K","1.38%"
"07/27/2014","643.29","659.64","662.54","639.45","390.84K","-2.47%"
"07/20/2014","659.58","661.90","670.33","657.33","304.13K","-0.67%"
"07/13/2014","664.04","670.59","672.53","653.61","312.50K","-0.46%"
"07/06/2014","667.14","690.78","690.78","663.62","371.40K","-3.67%"
"06/29/2014","692.54","679.97","695.71","677.17","274.30K","1.75%"
"06/22/2014","680.61","680.14","682.86","669.70","385.30K","0.15%"
"06/15/2014","679.59","666.74","679.65","663.76","439.64K","1.84%"
"06/08/2014","667.29","670.96","678.54","663.19","290.59K","-0.59%"
"06/01/2014","671.26","653.62","673.15","645.23","346.99K","2.79%"
"05/25/2014","653.01","652.44","660.01","651.30","268.01K","0.46%"
"05/18/2014","650.03","638.22","650.09","631.86","339.03K","1.71%"
"05/11/2014","639.08","643.81","659.19","626.31","383.72K","-0.56%"
"05/04/2014","642.69","650.75","651.93","634.09","401.20K","-1.51%"
"04/27/2014","652.56","650.75","658.05","638.96","415.25K","0.44%"
"04/20/2014","649.73","658.11","666.82","648.64","348.94K","-1.22%"
"04/13/2014","657.73","645.51","659.40","636.52","288.22K","2.32%"
"04/06/2014","642.79","663.50","667.15","640.85","412.52K","-3.11%"
"03/30/2014","663.44","660.89","682.63","660.89","390.95K","0.64%"
"03/23/2014","659.25","679.11","680.31","655.60","359.05K","-2.82%"
"03/16/2014","678.37","670.67","686.29","670.67","448.20K","1.31%"
"03/09/2014","669.63","680.52","681.77","664.25","341.76K","-1.70%"
"03/02/2014","681.22","665.04","684.21","657.28","414.98K","2.08%"
"02/23/2014","667.33","655.90","672.03","655.90","436.50K","1.85%"
"02/16/2014","655.18","649.38","657.27","647.50","337.03K","1.01%"
"02/09/2014","648.62","631.23","649.14","626.77","346.02K","2.67%"
"02/02/2014","631.73","639.24","639.24","614.47","414.59K","-1.22%"
"01/26/2014","639.51","648.11","648.42","634.08","394.31K","-1.22%"
"01/19/2014","647.43","662.83","667.74","646.03","287.78K","-1.88%"
"01/12/2014","659.81","658.53","663.98","647.78","325.65K","0.00%"
"01/05/2014","659.80","661.27","662.10","654.08","373.57K","-0.04%"
"12/29/2013","660.06","664.82","666.90","655.05","235.59K","-0.75%"
"12/22/2013","665.07","659.39","668.70","659.37","188.43K","1.17%"
"12/15/2013","657.41","638.61","657.72","638.61","501.48K","3.24%"
"12/08/2013","636.78","650.02","650.90","632.24","332.50K","-1.97%"
"12/01/2013","649.58","656.51","656.51","637.85","315.09K","-1.11%"
"11/24/2013","656.85","648.97","659.36","646.67","215.33K","1.35%"
"11/17/2013","648.08","641.76","648.44","632.26","289.96K","1.12%"
"11/10/2013","640.92","632.94","641.05","630.02","325.32K","1.28%"
